ReviewID,CustomerID,Rating,Review,Sentiment,FakeReview
REV00001,9362,1,Eum veritatis maxime natus suscipit ab voluptates.,Positive,No
REV00002,2344,4,Ullam iusto quod quia nihil.,Negative,No
REV00003,5008,1,Beatae eius fugit soluta et.,Negative,No
REV00004,3698,2,Natus magnam a accusamus molestiae.,Positive,No
REV00005,8684,4,Maiores dicta labore non.,Neutral,No
REV00006,154,5,Error earum voluptatum hic.,Positive,No
REV00007,6916,2,Distinctio odit labore est nam voluptate corrupti.,Negative,No
REV00008,2354,2,Ipsa necessitatibus tempore voluptatum amet.,Positive,No
REV00009,3871,2,Laboriosam dignissimos cumque nulla itaque quaerat voluptates voluptas.,Positive,No
REV00010,8578,1,Fuga iusto dolor distinctio asperiores eaque.,Positive,No
REV00011,6079,3,Necessitatibus ducimus placeat modi.,Neutral,No
REV00012,4132,1,Repellat earum quia accusantium dicta facere dignissimos placeat.,Positive,No
REV00013,4638,3,Magni quidem alias vero.,Negative,No
REV00014,5539,4,Non earum ut rerum odit.,Negative,No
REV00015,744,2,Unde unde maxime aliquam dicta nisi sunt.,Negative,No
REV00016,9301,1,Ex magnam doloribus quae numquam nobis nam.,Negative,No
REV00017,2574,2,Dolores accusantium asperiores unde nulla neque.,Negative,No
REV00018,4584,1,Quas animi magnam nesciunt temporibus esse.,Neutral,No
REV00019,1628,3,Maiores voluptas dolore dolor eius voluptas atque error.,Neutral,No
REV00020,769,1,Commodi rerum voluptatum culpa dicta.,Neutral,No
REV00021,8636,3,Delectus exercitationem quos hic maiores repellendus eaque.,Negative,No
REV00022,1020,5,Nemo dicta placeat consequatur corporis eum deleniti.,Negative,No
REV00023,4251,2,Mollitia quaerat pariatur cupiditate quis quae.,Positive,No
REV00024,6272,3,Dolor doloremque at tempore iusto labore harum.,Positive,No
REV00025,5386,1,Minima deserunt perspiciatis tenetur odio exercitationem.,Positive,No
REV00026,4151,5,Aut doloremque at alias beatae beatae nisi.,Neutral,No
REV00027,1867,2,Deleniti quis error.,Neutral,No
REV00028,2749,2,Commodi maxime eos eum ut mollitia.,Positive,Yes
REV00029,4369,4,Id repudiandae expedita magnam.,Neutral,No
REV00030,8258,4,Delectus facilis id soluta.,Positive,No
REV00031,1232,5,Ex voluptates alias quos inventore.,Neutral,No
REV00032,2106,4,Praesentium velit eum distinctio a aliquam.,Negative,No
REV00033,6424,4,Reiciendis sequi quas quae placeat.,Neutral,No
REV00034,2071,4,Earum totam asperiores.,Positive,No
REV00035,9293,5,Eum ex nam sint.,Negative,No
REV00036,8555,5,Illum deserunt debitis numquam voluptatem voluptate.,Negative,No
REV00037,4653,1,Quidem sapiente aperiam voluptatem fugiat reiciendis.,Positive,No
REV00038,2101,3,Quis id animi est distinctio.,Negative,No
REV00039,6411,3,Maiores nulla omnis vel mollitia iste.,Positive,No
REV00040,1607,4,Possimus explicabo quo suscipit at est deleniti.,Neutral,No
REV00041,7181,2,Minus in delectus aspernatur similique.,Negative,No
REV00042,3103,5,Facilis deserunt eaque dignissimos soluta quos aliquid modi.,Neutral,No
REV00043,3584,4,Officia praesentium expedita laboriosam.,Neutral,No
REV00044,7683,5,Nemo hic optio dolore.,Positive,No
REV00045,2856,2,Modi harum adipisci dolorum non.,Negative,No
REV00046,1751,1,Veniam sint quibusdam.,Positive,No
REV00047,1305,3,Voluptate reprehenderit magni porro sequi consequatur.,Neutral,No
REV00048,8056,1,Itaque eius magnam.,Neutral,No
REV00049,4463,4,Eius at fugit amet harum consequuntur.,Neutral,No
REV00050,540,3,Ipsa voluptatibus perferendis voluptatem.,Positive,No
REV00051,398,4,Nobis qui similique saepe asperiores ducimus molestias eaque.,Neutral,No
REV00052,3510,5,Est maxime voluptatem voluptatibus.,Neutral,No
REV00053,1741,3,Asperiores magni exercitationem similique.,Neutral,No
REV00054,485,1,Culpa tempora reiciendis sapiente.,Negative,No
REV00055,705,4,Ipsam quasi blanditiis ad pariatur doloribus.,Positive,No
REV00056,5675,4,Impedit iure laboriosam.,Negative,No
REV00057,7039,5,Ducimus enim odio neque impedit nesciunt.,Neutral,No
REV00058,5163,4,Recusandae earum dolore assumenda.,Negative,No
REV00059,1889,2,Deleniti neque nihil totam assumenda nihil repudiandae.,Neutral,No
REV00060,9378,1,Ea iure ullam dolorum dolores similique nostrum.,Negative,No
REV00061,5092,5,Quaerat similique explicabo voluptate occaecati.,Positive,No
REV00062,8231,3,Corporis quam eligendi.,Negative,No
REV00063,9287,1,Occaecati dolores voluptates similique dolores sit harum nemo.,Negative,No
REV00064,787,2,Voluptatem itaque repellendus voluptatibus voluptas.,Neutral,No
REV00065,8849,3,Unde voluptates non esse.,Negative,No
REV00066,2155,2,Id nihil necessitatibus pariatur architecto quas quibusdam et.,Neutral,No
REV00067,7626,5,Blanditiis nesciunt sint nihil provident molestiae reiciendis.,Neutral,No
REV00068,1986,4,Beatae aliquid dolores.,Positive,No
