ProductID,StoreID,Stock,ReorderLevel,DamagedStock,LostStock
1,S001,217,40,6,7
1,S002,352,67,13,10
1,S003,392,34,9,10
1,S004,263,52,0,10
1,S005,481,21,4,0
1,S006,120,45,2,10
1,S007,232,61,0,9
1,S008,396,41,4,1
1,S009,475,40,13,1
1,S010,482,33,3,7
1,S011,320,67,12,1
1,S012,446,55,4,5
1,S013,363,50,14,4
1,S014,308,44,10,1
1,S015,463,63,14,10
1,S016,319,74,7,10
1,S017,291,28,6,2
1,S018,372,48,9,3
1,S019,484,30,15,5
1,S020,114,36,9,3
1,S021,182,33,13,8
1,S022,299,25,6,3
1,S023,207,43,3,9
1,S024,105,71,11,2
1,S025,132,60,12,10
1,S026,268,24,10,0
1,S027,450,27,15,10
1,S028,249,33,5,1
1,S029,462,44,7,10
1,S030,72,27,15,7
1,S031,482,24,2,2
1,S032,184,57,12,8
1,S033,438,65,9,6
1,S034,499,65,11,1
1,S035,189,58,4,3
1,S036,405,75,10,2
1,S037,94,47,15,7
1,S038,300,44,1,3
1,S039,282,45,13,9
1,S040,281,72,2,4
1,S041,97,48,1,4
1,S042,367,50,1,7
1,S043,318,24,3,8
1,S044,341,47,7,4
1,S045,194,66,10,8
1,S046,375,42,2,6
1,S047,397,80,2,2
1,S048,108,71,2,7
1,S049,491,53,8,8
1,S050,297,79,14,5
2,S001,330,43,10,4
2,S002,335,62,6,6
2,S003,292,77,11,2
2,S004,173,67,7,5
2,S005,440,40,4,10
2,S006,69,68,0,10
2,S007,198,35,3,3
2,S008,330,65,7,10
2,S009,436,30,3,10
2,S010,479,21,1,5
2,S011,252,47,0,7
2,S012,479,32,14,3
2,S013,318,70,0,8
2,S014,169,50,3,4
2,S015,395,40,7,1
2,S016,259,44,11,2
2,S017,455,38,3,9
2,S018,124,35,10,5
2,S019,206,42,13,5
2,S020,50,26,6,10
2,S021,68,54,13,4
2,S022,217,29,6,10
2,S023,106,72,11,1
2,S024,141,68,4,0
2,S025,178,29,4,8
2,S026,199,66,8,7
2,S027,326,41,4,5
2,S028,499,70,7,0
2,S029,176,52,8,3
2,S030,125,31,4,1
2,S031,390,25,10,4
2,S032,457,67,6,4
2,S033,488,68,4,6
2,S034,305,66,5,6
2,S035,158,60,7,8
2,S036,497,63,15,2
2,S037,345,45,6,5
2,S038,357,71,5,1
2,S039,490,76,5,2
2,S040,334,31,9,3
2,S041,86,40,15,0
2,S042,444,53,8,8
2,S043,253,69,8,1
2,S044,357,77,8,1
2,S045,499,48,10,6
2,S046,80,65,14,3
2,S047,419,70,3,1
2,S048,338,27,14,3
2,S049,96,36,9,9
2,S050,467,21,12,6
3,S001,411,59,14,5
3,S002,264,67,4,3
3,S003,396,54,13,6
3,S004,152,51,14,8
3,S005,360,42,5,3
3,S006,349,38,6,10
3,S007,80,35,2,9
3,S008,69,47,4,2
3,S009,239,79,11,3
3,S010,344,64,10,4
3,S011,478,47,9,7
3,S012,421,47,14,4
3,S013,326,36,15,1
3,S014,60,49,9,8
3,S015,96,26,10,3
3,S016,116,28,11,6
3,S017,470,49,5,2
3,S018,353,60,4,0
3,S019,246,70,15,10
3,S020,131,35,2,0
3,S021,156,52,4,6
3,S022,173,76,7,5
3,S023,140,37,6,5
3,S024,59,40,13,3
3,S025,419,33,8,10
3,S026,180,41,7,3
3,S027,275,62,9,0
3,S028,286,49,2,2
3,S029,348,60,6,1
3,S030,442,80,5,10
3,S031,439,53,13,7
3,S032,350,33,9,9
3,S033,357,65,11,7
3,S034,426,42,9,3
3,S035,262,46,5,6
3,S036,482,23,7,1
3,S037,472,23,9,10
3,S038,228,28,13,9
3,S039,223,43,3,7
3,S040,306,57,14,3
3,S041,280,38,5,7
3,S042,141,61,11,7
3,S043,297,20,7,3
3,S044,120,45,12,1
3,S045,451,59,1,1
3,S046,490,36,8,3
3,S047,338,68,9,1
3,S048,218,70,1,4
3,S049,98,76,14,3
3,S050,423,53,7,10
4,S001,364,57,2,5
4,S002,321,39,15,0
4,S003,141,37,0,2
4,S004,457,61,15,0
4,S005,147,76,7,4
4,S006,96,21,6,8
4,S007,126,44,3,9
4,S008,465,51,15,3
4,S009,268,21,5,4
4,S010,451,72,14,0
4,S011,494,73,5,4
4,S012,270,44,12,9
4,S013,251,52,8,1
4,S014,257,49,12,4
4,S015,260,45,10,6
4,S016,270,66,13,9
4,S017,377,60,12,6
4,S018,339,79,1,9
4,S019,211,54,13,3
4,S020,50,20,1,4
4,S021,378,22,11,2
4,S022,261,29,13,1
4,S023,206,73,14,9
4,S024,487,51,13,4
4,S025,472,37,1,7
4,S026,91,70,8,6
4,S027,299,28,2,8
4,S028,498,28,9,9
4,S029,401,34,0,9
4,S030,392,52,14,8
4,S031,444,67,3,3
4,S032,262,66,4,1
4,S033,145,41,0,2
4,S034,91,42,3,4
4,S035,65,77,10,6
4,S036,451,49,1,7
4,S037,425,30,11,9
4,S038,281,74,12,6
4,S039,308,63,5,10
4,S040,367,59,14,8
4,S041,56,45,15,4
4,S042,90,30,10,7
4,S043,223,75,3,3
4,S044,71,57,13,2
4,S045,416,71,8,1
4,S046,144,40,9,2
4,S047,368,66,8,10
4,S048,360,72,1,9
4,S049,357,51,13,5
4,S050,160,38,14,4
5,S001,147,76,14,0
5,S002,221,45,2,0
5,S003,149,42,3,4
5,S004,100,45,13,0
5,S005,217,63,6,1
5,S006,102,36,11,1
5,S007,470,63,0,4
5,S008,247,32,14,0
5,S009,67,36,5,6
5,S010,478,63,12,0
5,S011,392,58,15,7
5,S012,338,25,2,8
5,S013,486,78,15,1
5,S014,422,72,8,10
5,S015,117,28,1,2
5,S016,58,21,14,4
5,S017,54,58,11,5
5,S018,102,25,1,5
5,S019,239,69,6,1
5,S020,489,70,15,10
5,S021,406,41,3,0
5,S022,56,42,11,7
5,S023,68,21,10,6
5,S024,495,30,5,10
5,S025,263,49,2,10
5,S026,170,46,7,3
5,S027,263,32,1,9
5,S028,423,26,14,10
5,S029,199,77,1,6
5,S030,166,64,0,5
5,S031,433,48,6,10
5,S032,184,61,2,3
5,S033,195,22,7,0
5,S034,135,79,14,4
5,S035,380,77,1,2
5,S036,129,54,1,9
5,S037,170,57,2,8
