SaleID,CustomerID,ProductID,EmployeeID,StoreID,Date,Quantity,Price,Discount,Revenue,Profit,PaymentMode
SALE00001,7417,134,EMP200,S026,2026-06-27,3,47549,20,114117.6,43418.5,UPI
SALE00002,9117,191,EMP162,S029,2024-12-31,2,42944,15,73004.8,17514.07,UPI
SALE00003,5772,196,EMP007,S004,2025-07-08,2,36953,10,66515.4,13908.73,Debit Card
SALE00004,6612,36,EMP285,S039,2024-07-15,1,47077,15,40015.45,15491.11,Credit Card
SALE00005,4175,111,EMP066,S021,2026-05-27,3,19793,0,59379.0,23269.75,Debit Card
SALE00006,8355,77,EMP144,S028,2025-02-16,3,2666,0,7998.0,2647.81,Credit Card
SALE00007,5180,149,EMP294,S036,2025-08-25,3,2885,0,8655.0,3318.07,Credit Card
SALE00008,2265,117,EMP025,S036,2026-01-01,1,41946,5,39848.7,10286.94,Debit Card
SALE00009,2729,131,EMP277,S047,2025-02-18,1,37240,20,29792.0,11880.34,Credit Card
SALE00010,2285,10,EMP114,S041,2025-08-29,4,47294,20,151340.8,52541.89,Net Banking
SALE00011,2058,45,EMP220,S033,2025-09-11,5,27156,10,122202.0,37676.96,Net Banking
SALE00012,1631,8,EMP256,S013,2025-05-19,2,23599,5,44838.1,9686.78,Debit Card
SALE00013,9631,172,EMP151,S034,2024-10-14,5,16436,10,73962.0,16834.85,Credit Card
SALE00014,7816,138,EMP292,S031,2026-05-09,5,16014,15,68059.5,24778.85,Debit Card
SALE00015,3533,22,EMP193,S022,2026-04-03,4,5555,0,22220.0,7562.25,Net Banking
SALE00016,7667,163,EMP104,S038,2026-03-29,1,939,0,939.0,421.31,Net Banking
SALE00017,9489,173,EMP219,S016,2025-06-03,5,9162,15,38938.5,16793.03,Credit Card
SALE00018,386,58,EMP143,S019,2024-12-29,1,38532,0,38532.0,15373.72,Net Banking
SALE00019,9356,49,EMP111,S001,2025-02-23,1,27306,0,27306.0,8976.86,Net Banking
SALE00020,8873,60,EMP117,S038,2025-05-18,1,47670,5,45286.5,11671.37,Cash
SALE00021,890,191,EMP009,S048,2026-05-13,5,40619,20,162476.0,35154.08,Cash
SALE00022,9682,55,EMP081,S025,2025-02-17,5,47205,0,236025.0,48523.56,Debit Card
SALE00023,8439,10,EMP288,S024,2025-02-25,2,47978,0,95956.0,21514.46,Debit Card
SALE00024,6316,45,EMP175,S022,2025-09-20,5,42195,10,189877.5,38558.09,Debit Card
SALE00025,869,165,EMP068,S014,2026-05-10,5,42226,5,200573.5,49679.31,UPI
SALE00026,6024,173,EMP108,S035,2026-06-07,4,14242,5,54119.6,13852.42,Debit Card
SALE00027,1351,47,EMP090,S006,2025-03-30,5,8958,15,38071.5,10740.57,Debit Card
SALE00028,1078,114,EMP259,S004,2024-09-26,3,5540,0,16620.0,3337.11,Net Banking
SALE00029,7055,184,EMP112,S031,2025-03-03,5,8025,15,34106.25,10940.78,Debit Card
SALE00030,5737,108,EMP132,S001,2025-12-19,1,29139,5,27682.05,6732.3,Debit Card
SALE00031,1171,62,EMP097,S036,2025-09-11,5,20847,15,88599.75,39483.21,Net Banking
SALE00032,93,192,EMP087,S017,2024-08-19,4,15501,10,55803.6,24184.67,Cash
SALE00033,817,97,EMP272,S023,2026-03-29,1,22166,10,19949.4,5005.84,Net Banking
SALE00034,3185,172,EMP153,S029,2025-08-08,3,19632,15,50061.6,13067.71,Credit Card
SALE00035,2942,152,EMP200,S002,2025-02-27,1,11153,10,10037.7,4148.72,Cash
SALE00036,3481,115,EMP126,S006,2024-12-12,5,37070,0,185350.0,42934.3,Cash
SALE00037,6381,183,EMP298,S050,2025-09-12,1,39088,10,35179.2,8698.43,Net Banking
SALE00038,4917,16,EMP239,S004,2025-03-21,5,32630,20,130520.0,55379.42,UPI
SALE00039,6117,27,EMP095,S034,2025-07-08,1,19871,10,17883.9,3649.89,Net Banking
SALE00040,5718,98,EMP172,S027,2025-10-27,5,36579,10,164605.5,68581.27,Net Banking
SALE00041,8698,28,EMP014,S012,2026-04-09,1,26771,20,21416.8,8324.87,UPI
SALE00042,6601,86,EMP088,S042,2025-02-20,1,21291,10,19161.9,4806.04,Net Banking
SALE00043,5044,165,EMP227,S045,2024-07-23,4,9063,20,29001.6,6436.79,Net Banking
SALE00044,5848,156,EMP203,S044,2024-07-05,3,35518,5,101226.3,23766.82,Debit Card
SALE00045,7696,21,EMP076,S047,2026-06-18,2,38408,20,61452.8,27095.76,Debit Card
SALE00046,4085,127,EMP181,S007,2026-06-27,4,45924,15,156141.6,60121.83,UPI
SALE00047,9934,166,EMP154,S037,2025-07-28,2,39924,20,63878.4,21427.69,Cash
SALE00048,5604,46,EMP140,S040,2024-10-07,2,29191,5,55462.9,23981.33,Net Banking
SALE00049,7269,179,EMP213,S006,2026-07-04,4,47836,0,191344.0,41744.35,UPI
SALE00050,4330,44,EMP290,S001,2025-11-21,4,40580,0,162320.0,33522.74,UPI
SALE00051,2127,165,EMP055,S046,2026-03-01,5,17386,0,86930.0,38902.98,UPI
SALE00052,2178,49,EMP049,S029,2026-06-06,4,43147,10,155329.2,35142.43,Credit Card
SALE00053,1212,62,EMP065,S029,2025-05-12,1,32530,0,32530.0,6519.36,Credit Card
SALE00054,8234,87,EMP296,S037,2025-10-31,2,47679,5,90590.1,27582.43,Net Banking
SALE00055,5114,189,EMP075,S033,2024-07-22,1,31632,5,30050.4,12493.87,Net Banking
SALE00056,686,87,EMP144,S036,2024-10-21,5,3244,20,12976.0,3721.1,Net Banking
SALE00057,9777,139,EMP074,S035,2024-11-08,2,4832,20,7731.2,1862.0,Debit Card
SALE00058,6618,10,EMP112,S050,2024-08-25,5,27985,20,111940.0,32984.11,Net Banking
SALE00059,5219,182,EMP110,S025,2024-07-23,1,21965,20,17572.0,6476.99,Cash
SALE00060,8089,135,EMP291,S031,2024-11-04,4,3107,20,9942.4,4290.75,Net Banking
SALE00061,7085,200,EMP261,S037,2025-12-23,4,10468,10,37684.8,15850.39,Cash
SALE00062,2974,166,EMP025,S036,2026-04-17,5,27986,0,139930.0,52373.44,UPI
SALE00063,9171,124,EMP173,S039,2024-10-16,5,6215,5,29521.25,13272.1,Net Banking
SALE00064,7052,156,EMP137,S025,2024-11-14,3,12866,0,38598.0,11505.52,UPI
SALE00065,3505,146,EMP242,S005,2024-07-13,4,3526,15,11988.4,5206.91,UPI
SALE00066,5183,18,EMP080,S047,2026-05-19,5,3575,20,14300.0,3517.81,UPI
SALE00067,7242,100,EMP077,S003,2024-11-23,4,39909,5,151654.2,44385.55,Cash
SALE00068,1460,7,EMP209,S048,2025-01-06,5,34931,5,165922.25,53321.67,Credit Card
SALE00069,1641,7,EMP291,S023,2026-01-21,1,17086,5,16231.7,6358.8,Net Banking
SALE00070,4919,124,EMP113,S018,2024-12-25,3,10411,5,29671.35,7409.38,Cash
SALE00071,3166,142,EMP124,S040,2024-07-14,5,3836,5,18221.0,8115.68,Debit Card
SALE00072,5294,176,EMP146,S001,2024-11-20,3,3538,10,9552.6,4285.13,Net Banking
SALE00073,9808,78,EMP257,S005,2024-11-01,3,27462,10,74147.4,28534.99,Cash
SALE00074,5521,168,EMP276,S003,2026-05-17,3,44136,5,125787.6,55659.37,Credit Card
SALE00075,29,143,EMP224,S006,2024-11-09,4,6996,0,27984.0,10502.84,Cash
SALE00076,3735,35,EMP247,S012,2025-12-20,4,22979,10,82724.4,17176.2,Debit Card
SALE00077,9571,154,EMP096,S026,2025-10-14,1,9302,10,8371.8,1816.64,UPI
SALE00078,2525,191,EMP259,S006,2026-06-11,1,34308,10,30877.2,8593.99,Cash
SALE00079,3220,90,EMP114,S014,2025-07-13,2,2454,5,4662.6,1275.77,Debit Card
SALE00080,9285,182,EMP064,S040,2025-10-21,3,27824,10,75124.8,28040.14,UPI
SALE00081,5734,162,EMP097,S031,2024-11-30,5,1720,15,7310.0,1563.35,Net Banking
SALE00082,9746,105,EMP258,S019,2026-03-05,3,45119,0,135357.0,28001.74,Credit Card
SALE00083,1675,112,EMP272,S046,2025-01-20,3,23752,15,60567.6,17265.68,Cash
