TransactionID,Amount,PaymentMethod,Location,Device,TransactionDate,Fraud
TXN00001,11436,UPI,Durgapur,iPhone,2025-05-09,No
TXN00002,18084,Debit Card,Avadi,iPhone,2025-01-25,No
TXN00003,25795,UPI,Kakinada,Laptop,2026-02-03,No
TXN00004,63088,Debit Card,Sikar,Android,2024-07-29,No
TXN00005,68357,Debit Card,Alwar,iPhone,2024-11-20,No
TXN00006,97935,Credit Card,Tadipatri,Android,2024-11-14,No
TXN00007,69649,Net Banking,Kishanganj,iPhone,2024-12-17,No
TXN00008,5758,Debit Card,Rohtak,iPhone,2025-09-29,No
TXN00009,17288,Credit Card,Panipat,Laptop,2026-06-27,No
TXN00010,78226,Credit Card,Raebareli,iPhone,2025-11-21,No
TXN00011,34914,Credit Card,Tadepalligudem,Laptop,2025-11-19,No
TXN00012,9352,UPI,Gorakhpur,Android,2024-10-16,No
TXN00013,9790,Net Banking,Bhilai,Android,2025-08-03,No
TXN00014,60274,UPI,Moradabad,iPhone,2025-08-01,No
TXN00015,64499,Debit Card,Udaipur,iPhone,2024-08-09,No
TXN00016,44420,Debit Card,Vijayanagaram,Android,2026-06-03,No
TXN00017,49835,UPI,Tenali,Android,2026-03-23,No
TXN00018,44631,UPI,Hosur,Android,2025-11-06,No
TXN00019,52617,Credit Card,Siwan,iPhone,2025-09-05,No
TXN00020,39310,Net Banking,Danapur,Android,2025-11-25,No
TXN00021,5150,UPI,Madurai,Android,2025-05-02,No
TXN00022,92439,Credit Card,Tezpur,Laptop,2025-04-11,No
TXN00023,42843,Debit Card,Aurangabad,Laptop,2026-03-29,No
TXN00024,8937,UPI,Serampore,iPhone,2025-02-27,No
TXN00025,12892,UPI,Parbhani,Laptop,2026-06-22,No
TXN00026,41490,Debit Card,Bahraich,iPhone,2025-01-05,No
TXN00027,92179,Credit Card,Ongole,Laptop,2026-01-15,No
TXN00028,27605,Credit Card,Chinsurah,Android,2026-06-06,No
TXN00029,57513,Net Banking,Pondicherry,Laptop,2025-02-11,No
TXN00030,57479,Net Banking,Nagaon,Android,2025-06-15,No
TXN00031,40784,Net Banking,Bhatpara,iPhone,2024-10-14,No
TXN00032,22562,Credit Card,Sasaram,Android,2024-08-20,No
TXN00033,88404,Net Banking,Ahmednagar,Android,2025-09-30,No
TXN00034,6100,Debit Card,Rampur,Android,2025-02-27,No
TXN00035,71903,UPI,Buxar,Laptop,2025-06-24,No
TXN00036,77409,Net Banking,Barasat,Laptop,2025-03-09,No
TXN00037,62609,Net Banking,Coimbatore,Android,2025-10-28,No
TXN00038,95175,Net Banking,Mysore,iPhone,2026-02-27,No
TXN00039,98020,Net Banking,Varanasi,Laptop,2025-10-03,No
TXN00040,84373,Debit Card,Bhimavaram,Android,2025-10-20,No
TXN00041,34468,UPI,Bijapur,Laptop,2026-04-22,No
TXN00042,67370,Net Banking,Mysore,Android,2025-07-02,No
TXN00043,9479,UPI,Motihari,iPhone,2026-03-15,No
TXN00044,26747,Net Banking,Bhind,iPhone,2024-11-06,No
TXN00045,83494,UPI,Jamnagar,iPhone,2025-06-26,No
TXN00046,63515,UPI,Saharsa,Android,2025-06-09,No
TXN00047,50758,Credit Card,Kozhikode,iPhone,2024-09-14,No
TXN00048,3340,Net Banking,Mahbubnagar,Android,2024-12-29,No
TXN00049,57392,UPI,Nizamabad,Android,2025-12-11,No
TXN00050,32377,Net Banking,Pune,iPhone,2024-09-18,No
TXN00051,60523,Net Banking,Bhagalpur,Android,2026-05-03,No
TXN00052,6550,UPI,Jaunpur,Laptop,2026-05-11,No
TXN00053,71491,Debit Card,Hindupur,Android,2025-01-28,No
TXN00054,62012,Debit Card,Coimbatore,Laptop,2025-05-23,No
